student_id,student_name,email,program,year_of_study,enrollment_date,is_commuter,works_part_time,has_declared_disability,is_international,financial_support,attendance_rate,attendance_slope_4w,vle_logins_last_week,vle_time_hours_last_week,vle_logins_slope_4w,vle_hours_slope_4w,materials_accessed_last_4w,engagement_trend,assignments_submitted_on_time,assignments_submitted_late,last_assessment_grade,previous_semester_gpa,accessed_upcoming_assessment_brief,days_to_nearest_assessment,withdrew,failed_next_assessment,prior_intervention_count,prior_interventions_improved,split,consecutive_missed_max,late_arrivals_total,excused_absences,unexcused_absences,quiz_attempts_count,resource_downloads_count,forum_posts_count,mean_module_grade,module_grade_variance,wellbeing_score,wellbeing_flags,wellbeing_last_checkin,missing_assignments_count
STU0024,Marian Young,marian.young@student.chester.ac.uk,Business Analytics,3,2024-10-02,False,True,False,True,Self-funded,79.98,0.05,6,3.46,-1.75,-2.3,6,Stable,7,0,64,3.65,False,11,False,False,0,0,val,1,4,2,11,3,11,2,72.4,69.9,10,1,2025-02-23,0
STU0025,Linda Mellor,linda.mellor@student.chester.ac.uk,Engineering,1,2024-09-15,False,True,False,True,Full,83.18,3.36,6,3.71,-0.12,-0.18,7,Improving,6,0,88,3.47,True,13,False,False,0,0,train,1,7,1,11,2,15,1,86.2,108.7,5,0,2025-03-19,0
STU0026,Geraldine Rees,geraldine.rees@student.chester.ac.uk,Psychology,3,2024-10-13,False,False,False,False,Full,84.0,-11.26,14,8.34,-4.88,-2.88,12,Declining,4,1,73,3.4,False,15,False,False,0,0,train,1,3,3,2,1,2,0,78.7,108.4,6,0,2025-02-27,1
STU0027,Irene Wilson,irene.wilson@student.chester.ac.uk,Engineering,2,2024-09-23,False,True,False,False,Self-funded,85.14,-9.28,8,3.21,-2.25,-2.44,12,Declining,5,0,77,4.0,True,8,False,False,0,0,train,1,11,0,6,4,11,1,75.8,124.1,7,2,2025-03-10,0
STU0028,Gregory Robinson,gregory.robinson@student.chester.ac.uk,Data Science,3,2024-09-17,False,False,False,True,Partial,54.99,9.57,0,0.0,-0.12,-0.01,0,Improving,1,1,36,2.39,False,9,False,True,1,0,test,4,2,6,24,0,7,0,37.5,135.7,7,0,2025-03-17,1
STU0029,Donald Taylor,donald.taylor@student.chester.ac.uk,Business Analytics,3,2024-10-15,False,False,False,False,Self-funded,70.91,14.97,3,1.1,0.88,-0.57,0,Improving,2,2,36,2.43,False,4,True,True,1,1,train,4,4,7,17,1,8,3,39.2,118.7,7,0,2025-03-12,0
STU0030,Jessica White,jessica.white@student.chester.ac.uk,Data Science,2,2024-10-05,False,True,False,True,Partial,86.07,6.63,7,0.71,0.38,-1.7,6,Improving,4,0,82,4.0,True,11,False,False,0,0,train,1,3,4,6,6,6,3,84.7,206.5,9,0,2025-03-16,1
STU0031,Heather Lee,heather.lee@student.chester.ac.uk,Data Science,2,2024-10-04,False,True,False,False,Self-funded,90.25,0.72,9,4.95,2.12,2.18,7,Stable,8,0,82,3.36,True,19,False,False,0,0,train,1,9,1,4,4,9,1,93.5,60.1,7,1,2025-03-17,0
STU0032,Ben Middleton,ben.middleton@student.chester.ac.uk,Computer Science,3,2024-09-16,False,False,False,False,Self-funded,93.38,2.81,13,8.14,3.25,1.99,8,Stable,7,0,80,3.31,True,6,False,False,0,0,train,1,6,1,3,5,11,5,77.6,42.8,10,0,2025-02-22,1
STU0033,Rhys Davies,rhys.davies@student.chester.ac.uk,Psychology,1,2024-10-26,False,True,False,False,Self-funded,60.91,-6.53,2,0.0,-0.75,0.21,3,Declining,2,1,47,2.0,False,10,True,True,0,0,train,3,5,4,18,1,7,2,53.8,176.9,6,1,2025-03-13,1
STU0034,Rita Cross,rita.cross@student.chester.ac.uk,Psychology,1,2024-09-15,False,True,False,False,Full,86.87,-6.88,13,5.66,-1.88,-1.13,8,Declining,7,0,84,3.99,False,8,False,False,0,0,train,1,7,1,4,2,9,4,83.4,221.1,6,0,2025-02-22,0
STU0035,Eileen Hammond,eileen.hammond@student.chester.ac.uk,Business Analytics,2,2024-09-16,True,False,True,False,Self-funded,77.52,5.29,3,3.06,-1.0,-1.04,5,Improving,4,0,61,2.96,False,19,False,False,0,0,train,3,3,1,16,3,2,1,55.0,60.1,6,1,2025-03-16,1
STU0036,Heather Thompson,heather.thompson@student.chester.ac.uk,Engineering,2,2024-09-15,False,False,False,True,Partial,80.76,1.84,5,3.62,-0.88,-0.1,6,Stable,6,0,56,2.63,True,16,False,False,0,0,train,1,5,4,7,4,16,2,54.5,79.3,8,0,2025-03-04,0
STU0037,Duncan Humphries,duncan.humphries@student.chester.ac.uk,Business Analytics,3,2024-09-18,False,False,False,False,Partial,72.56,-13.88,4,3.93,-4.25,-2.1,2,Declining,3,0,53,2.64,False,14,True,True,2,1,train,3,9,3,8,3,4,0,53.5,375.0,9,0,2025-03-06,1
STU0038,Jessica Dixon,jessica.dixon@student.chester.ac.uk,Computer Science,1,2024-10-21,False,True,False,False,Self-funded,68.71,-2.39,6,1.84,2.88,1.89,2,Stable,4,0,52,2.54,True,14,False,True,0,0,test,2,8,3,15,5,9,1,53.9,47.2,8,0,2025-03-20,0
STU0039,Ruth Holmes,ruth.holmes@student.chester.ac.uk,Psychology,1,2024-10-10,False,True,False,True,Self-funded,76.13,4.58,2,1.98,-1.0,-1.01,7,Improving,4,1,67,3.34,True,5,False,False,0,0,train,3,5,6,12,0,9,1,69.0,13.5,7,0,2025-02-26,0
STU0040,Gerald Richardson,gerald.richardson@student.chester.ac.uk,Computer Science,1,2024-10-13,False,True,False,True,Self-funded,81.53,8.16,11,6.88,3.25,2.25,5,Improving,4,0,61,3.23,False,5,False,False,0,0,train,2,3,4,11,1,9,2,65.2,100.7,8,0,2025-02-28,1
STU0041,William Wilson,william.wilson@student.chester.ac.uk,Business Analytics,2,2024-09-02,False,False,False,True,Self-funded,69.63,5.73,2,0.0,1.62,-0.08,1,Improving,5,0,42,2.23,False,3,False,False,0,0,test,2,4,3,18,2,5,1,45.5,76.3,7,0,2025-03-19,1
STU0042,Ryan Nelson,ryan.nelson@student.chester.ac.uk,Computer Science,3,2024-09-18,False,False,False,False,Full,66.37,-23.07,2,2.27,-3.88,-1.4,5,Declining,2,0,63,2.4,False,14,False,False,0,0,train,2,8,2,8,1,2,1,64.8,81.0,7,1,2025-03-15,0
STU0043,Joanne Phillips,joanne.phillips@student.chester.ac.uk,Psychology,2,2024-09-15,False,True,False,True,Self-funded,87.82,4.95,5,1.29,2.25,1.35,11,Improving,6,0,100,3.69,True,3,False,True,3,0,train,1,2,3,6,6,7,2,98.8,2.4,7,2,2025-03-07,1
STU0044,Phillip Johnston,phillip.johnston@student.chester.ac.uk,Data Science,1,2024-10-20,False,True,False,True,Full,87.58,2.86,7,2.9,-1.38,-1.74,9,Stable,7,1,67,3.93,True,14,True,False,3,2,val,1,1,1,8,2,12,1,66.7,147.7,7,0,2025-03-02,0
STU0045,Kirsty Hawkins,kirsty.hawkins@student.chester.ac.uk,Computer Science,3,2024-09-02,False,True,False,True,Self-funded,86.16,3.42,8,5.77,0.0,-0.3,13,Improving,5,0,77,4.0,True,15,False,True,1,1,train,1,8,0,9,4,10,1,77.2,51.7,5,0,2025-02-23,0
STU0046,Guy Kelly,guy.kelly@student.chester.ac.uk,Engineering,1,2024-09-07,False,True,False,False,Self-funded,78.05,-9.59,7,1.62,-1.0,-1.89,5,Declining,6,0,62,2.33,False,14,False,True,2,1,train,2,8,3,7,1,13,3,65.2,7.5,8,2,2025-03-01,1
STU0047,Dawn Byrne,dawn.byrne@student.chester.ac.uk,Data Science,1,2024-10-15,False,False,True,False,Self-funded,91.36,22.8,13,7.01,8.5,4.71,13,Improving,6,0,77,2.99,False,9,False,False,0,0,val,2,5,2,11,7,10,1,71.8,109.3,7,0,2025-02-28,0
STU0048,Carly Hale,carly.hale@student.chester.ac.uk,Engineering,2,2024-10-21,False,False,False,False,Self-funded,65.51,-6.84,3,1.27,2.38,1.95,2,Declining,3,0,50,3.38,False,14,False,False,1,1,train,2,2,7,12,2,5,1,49.9,191.5,8,0,2025-03-12,0
STU0049,Arthur Davidson,arthur.davidson@student.chester.ac.uk,Engineering,3,2024-10-06,False,False,False,False,Full,83.92,-1.78,4,0.35,0.25,-0.5,11,Stable,6,0,61,3.01,True,15,False,False,0,0,train,2,12,3,7,1,9,3,57.5,133.3,10,2,2025-03-16,1
STU0050,Chelsea Powell,chelsea.powell@student.chester.ac.uk,Data Science,2,2024-10-09,True,False,False,False,Partial,60.56,8.11,4,4.14,1.88,0.02,3,Improving,3,1,39,2.61,False,21,False,False,0,0,train,4,2,6,21,2,8,1,44.2,247.8,6,0,2025-03-08,0
STU0051,Fiona Rowe,fiona.rowe@student.chester.ac.uk,Data Science,2,2024-10-06,False,True,False,True,Partial,79.42,0.77,8,2.46,3.38,2.07,4,Stable,5,0,77,2.97,False,12,False,False,0,0,train,2,3,0,12,2,13,1,71.2,47.6,7,0,2025-03-01,0
STU0052,Carole Matthews,carole.matthews@student.chester.ac.uk,Engineering,2,2024-10-17,True,True,False,False,Partial,90.11,-5.23,7,1.49,-1.25,-0.47,12,Declining,6,0,89,3.91,True,21,True,False,1,0,train,1,7,0,3,5,6,0,94.2,31.0,6,0,2025-02-25,1
STU0053,Gerald Turner,gerald.turner@student.chester.ac.uk,Computer Science,1,2024-10-26,False,False,False,False,Full,85.06,-10.62,8,4.07,-2.62,-0.82,15,Declining,4,0,87,4.0,True,18,False,False,0,0,train,1,8,1,2,3,13,2,84.2,184.2,9,2,2025-02-23,0
STU0054,Ashley Bond,ashley.bond@student.chester.ac.uk,Computer Science,2,2024-10-11,False,False,False,False,Full,55.19,-1.02,0,0.91,-0.25,0.21,1,Stable,0,2,34,2.21,False,21,True,True,0,0,val,3,4,4,22,2,6,0,32.2,0.4,5,0,2025-02-27,5
STU0055,George Davey,george.davey@student.chester.ac.uk,Engineering,3,2024-09-19,False,True,False,False,Partial,69.41,11.69,1,0.46,3.25,0.97,6,Improving,2,0,60,2.5,False,21,False,False,0,0,test,3,3,4,21,4,6,2,68.2,352.2,8,1,2025-02-24,1
STU0056,Jamie Gould,jamie.gould@student.chester.ac.uk,Data Science,1,2024-10-09,False,False,False,True,Full,84.17,0.03,8,6.9,0.25,-0.28,14,Stable,6,0,82,3.7,True,21,False,False,0,0,train,1,6,3,8,3,10,3,81.2,121.4,5,0,2025-02-27,0
STU0057,Sam James,sam.james@student.chester.ac.uk,Engineering,3,2024-09-18,False,True,False,False,Partial,87.4,-9.03,10,3.62,-2.5,-0.9,14,Declining,4,0,69,3.76,True,8,False,False,0,0,test,1,9,1,3,3,16,1,68.3,89.2,5,0,2025-03-13,0
STU0058,Mary Anderson,mary.anderson@student.chester.ac.uk,Engineering,1,2024-09-09,False,False,False,True,Full,69.8,0.75,4,1.32,-0.75,-0.33,7,Stable,6,0,70,3.21,False,18,False,True,2,1,test,2,4,5,14,1,5,3,68.5,20.8,7,0,2025-03-05,0
STU0059,Emma Palmer,emma.palmer@student.chester.ac.uk,Psychology,2,2024-10-21,False,False,False,False,Self-funded,76.02,-9.29,5,2.55,-2.38,-1.97,6,Declining,4,0,56,3.22,False,18,False,False,0,0,train,2,10,1,10,3,2,1,56.8,71.7,6,1,2025-02-28,0
STU0060,Jade Hill,jade.hill@student.chester.ac.uk,Engineering,3,2024-09-04,False,True,False,False,Full,65.52,-0.44,1,0.17,0.12,0.81,3,Stable,2,1,60,2.97,False,7,False,True,1,0,train,3,8,2,19,2,7,0,59.5,12.8,7,4,2025-02-21,1
STU0061,Andrea Taylor,andrea.taylor@student.chester.ac.uk,Data Science,3,2024-09-17,False,False,False,False,Partial,75.92,4.4,9,7.37,2.62,2.95,4,Improving,2,0,62,3.07,False,19,False,False,0,0,train,2,4,3,13,1,7,1,60.0,48.0,6,0,2025-02-23,3
STU0062,Mark Davies,mark.davies@student.chester.ac.uk,Business Analytics,1,2024-09-04,False,True,True,False,Partial,90.73,-5.52,7,0.9,-2.25,-4.16,5,Declining,4,0,59,3.7,True,10,False,False,1,1,train,1,4,1,1,4,6,3,61.1,4.0,7,1,2025-03-01,1
STU0063,Geoffrey Richardson,geoffrey.richardson@student.chester.ac.uk,Data Science,3,2024-09-28,False,False,False,False,Partial,82.53,-9.08,7,4.33,-1.0,-0.72,9,Declining,3,1,83,3.39,False,13,False,False,2,1,val,1,6,0,6,6,14,2,92.5,43.5,7,1,2025-02-23,1
STU0064,Paula Myers,paula.myers@student.chester.ac.uk,Business Analytics,2,2024-09-28,False,False,False,False,Self-funded,81.58,-2.75,5,2.2,-3.12,-1.86,6,Stable,4,0,54,3.16,False,12,False,False,0,0,test,2,2,2,7,3,7,1,57.7,108.6,7,1,2025-02-27,0
STU0065,Jemma Cook,jemma.cook@student.chester.ac.uk,Engineering,3,2024-09-03,False,False,False,False,Full,73.07,5.54,6,2.26,-0.62,-1.1,4,Improving,3,0,44,2.82,True,4,False,False,0,0,train,1,3,4,15,5,3,1,44.1,93.6,7,0,2025-03-01,0
STU0066,Billy Williams,billy.williams@student.chester.ac.uk,Engineering,1,2024-09-10,False,True,False,False,Full,51.07,5.64,1,0.0,0.5,-0.11,0,Improving,0,0,56,2.65,False,14,False,True,2,1,val,3,6,6,27,1,4,1,55.0,31.4,5,1,2025-02-20,2
STU0067,Sandra Harper,sandra.harper@student.chester.ac.uk,Engineering,1,2024-09-11,False,True,False,True,Full,83.68,-0.16,7,0.07,0.88,-0.49,8,Stable,6,0,69,3.81,False,21,False,False,0,0,train,1,6,1,8,2,7,2,66.4,41.5,8,0,2025-03-02,0
STU0068,Marcus Page,marcus.page@student.chester.ac.uk,Engineering,2,2024-09-18,True,True,False,False,Full,93.9,4.36,12,6.21,2.0,1.24,13,Improving,6,0,81,3.64,True,10,False,False,1,0,train,1,4,1,4,5,8,2,80.0,65.2,7,0,2025-02-28,0
STU0069,Antony Buckley,antony.buckley@student.chester.ac.uk,Engineering,3,2024-09-02,False,True,False,False,Self-funded,63.62,-13.87,4,1.63,-1.75,-0.82,6,Declining,2,0,48,2.31,False,18,False,True,0,0,train,2,6,3,13,4,9,1,45.4,88.9,5,0,2025-03-11,3
STU0070,Kenneth Taylor,kenneth.taylor@student.chester.ac.uk,Computer Science,2,2024-10-26,False,False,False,True,Self-funded,47.55,3.45,0,0.0,0.0,1.31,1,Improving,0,1,30,2.12,False,13,True,True,2,1,train,4,3,6,28,1,5,0,26.0,42.3,6,0,2025-02-25,5
STU0071,Joel Gray,joel.gray@student.chester.ac.uk,Psychology,2,2024-10-05,True,False,False,False,Partial,61.22,-4.94,2,2.84,-1.0,-0.01,5,Declining,5,0,45,2.44,False,9,False,True,2,0,train,3,4,4,17,5,6,0,45.9,73.6,5,0,2025-03-05,0
STU0072,Kathleen John,kathleen.john@student.chester.ac.uk,Data Science,3,2024-10-24,False,False,True,True,Self-funded,83.25,-8.55,9,5.75,0.25,1.49,12,Declining,5,0,77,3.47,False,17,False,False,0,0,train,1,9,0,8,1,6,1,74.9,37.5,7,2,2025-02-20,3
STU0073,Carl Patel,carl.patel@student.chester.ac.uk,Business Analytics,3,2024-10-28,False,False,False,False,Partial,71.04,-0.34,2,1.82,-1.75,-0.31,4,Stable,5,1,51,2.69,False,18,False,True,1,1,train,2,2,7,10,4,7,0,57.6,36.2,7,1,2025-03-18,0
STU0074,Shaun Powell,shaun.powell@student.chester.ac.uk,Engineering,3,2024-09-07,True,False,False,False,Full,47.79,4.21,1,1.57,-0.12,0.44,1,Improving,3,1,30,2.51,False,3,True,False,0,0,test,4,2,9,24,4,5,0,24.1,39.7,8,2,2025-03-12,2
STU0075,Melanie Bell,melanie.bell@student.chester.ac.uk,Computer Science,3,2024-10-28,False,False,False,False,Full,79.7,0.2,10,8.18,0.12,2.64,6,Stable,4,0,56,2.72,True,12,False,False,0,0,train,2,11,2,11,7,6,1,65.7,28.8,8,0,2025-03-12,0
STU0076,June Duncan,june.duncan@student.chester.ac.uk,Engineering,3,2024-10-06,True,True,False,False,Full,86.88,-3.4,6,3.17,-0.75,1.25,12,Declining,4,0,80,3.31,True,19,False,False,0,0,test,1,6,0,7,6,12,2,82.4,3.6,6,0,2025-02-20,0
STU0077,Jack Griffiths,jack.griffiths@student.chester.ac.uk,Psychology,2,2024-09-03,True,True,False,False,Full,75.99,-0.19,3,0.01,0.25,0.29,4,Stable,1,0,63,2.98,False,16,False,False,0,0,val,1,2,3,12,3,8,1,63.3,138.4,8,1,2025-03-03,2
STU0078,Linda Shaw,linda.shaw@student.chester.ac.uk,Business Analytics,3,2024-10-17,True,False,False,True,Full,55.63,-1.44,0,0.0,0.12,0.31,2,Stable,0,0,29,2.16,False,8,False,True,2,0,val,3,4,6,20,1,7,1,36.5,13.0,6,0,2025-02-28,1
STU0079,Mohammad Smith,mohammad.smith@student.chester.ac.uk,Engineering,3,2024-10-03,False,True,False,False,Full,81.74,4.47,1,0.0,-2.88,-1.53,9,Improving,7,0,62,3.7,False,3,False,False,0,0,val,1,3,1,12,2,6,1,57.3,92.6,9,0,2025-03-06,1
STU0080,Cameron Shaw,cameron.shaw@student.chester.ac.uk,Psychology,1,2024-10-18,False,True,False,False,Partial,74.32,-6.01,5,1.31,3.88,2.16,7,Declining,5,1,73,3.42,False,9,False,False,0,0,train,1,9,2,9,2,12,1,70.8,144.9,5,0,2025-03-17,0
STU0081,Jason Cunningham,jason.cunningham@student.chester.ac.uk,Computer Science,1,2024-10-22,True,False,False,True,Full,61.15,-1.94,4,1.97,0.75,0.43,4,Stable,4,1,55,2.82,False,5,False,True,0,0,train,2,6,3,20,0,10,2,56.0,206.3,5,0,2025-03-10,1
STU0082,Danielle Sharp,danielle.sharp@student.chester.ac.uk,Computer Science,1,2024-09-18,True,False,False,True,Partial,73.89,21.32,2,0.73,3.25,2.51,5,Improving,6,0,50,2.76,True,10,False,False,0,0,train,2,4,5,19,6,5,2,54.3,101.5,6,0,2025-03-14,2
STU0083,Stacey Miller,stacey.miller@student.chester.ac.uk,Data Science,3,2024-09-18,False,False,False,False,Full,82.24,4.51,8,5.44,-0.12,-0.09,2,Improving,1,0,65,2.8,False,6,False,False,0,0,train,2,5,1,10,11,10,0,61.1,6.1,5,1,2025-03-05,2
STU0084,Scott Knowles,scott.knowles@student.chester.ac.uk,Business Analytics,1,2024-09-06,False,False,False,False,Partial,73.39,3.49,1,0.66,-0.88,0.42,6,Improving,3,1,55,2.56,False,4,False,False,0,0,train,2,6,2,17,2,8,2,61.5,33.2,8,0,2025-02-22,1
STU0085,Georgina O'Brien,georgina.obrien@student.chester.ac.uk,Engineering,3,2024-10-15,False,False,True,True,Full,68.09,-5.03,1,1.86,-1.25,-0.21,3,Declining,3,1,56,2.35,False,17,False,False,0,0,val,2,6,4,14,2,5,0,55.0,3.6,6,1,2025-03-11,0
STU0086,Debra Carr,debra.carr@student.chester.ac.uk,Data Science,1,2024-09-17,True,False,False,False,Partial,82.96,-5.44,5,3.62,-4.0,-1.37,5,Declining,8,0,62,3.05,True,15,False,False,0,0,train,1,10,1,7,4,7,1,57.8,66.7,10,1,2025-03-15,0
STU0087,Mary Arnold,mary.arnold@student.chester.ac.uk,Psychology,3,2024-10-22,True,False,True,False,Full,63.31,2.35,3,1.52,1.12,0.43,0,Stable,4,0,55,3.63,False,4,False,False,0,0,train,3,4,3,21,7,0,2,53.6,33.8,5,2,2025-03-10,0
STU0088,Sheila Mitchell,sheila.mitchell@student.chester.ac.uk,Psychology,1,2024-09-01,False,False,False,False,Self-funded,93.7,-2.93,4,2.38,-4.5,-3.24,11,Stable,3,1,67,4.0,True,5,False,False,0,0,train,1,7,0,2,3,10,3,53.1,5.1,8,1,2025-02-25,1
STU0089,Hollie Lawson,hollie.lawson@student.chester.ac.uk,Computer Science,1,2024-09-24,True,True,False,True,Full,88.98,-5.91,14,6.0,-3.38,-2.31,9,Declining,7,0,100,3.91,True,5,False,False,0,0,train,1,1,1,4,1,13,1,96.7,8.2,7,0,2025-02-21,0
STU0090,Graeme Matthews,graeme.matthews@student.chester.ac.uk,Business Analytics,2,2024-09-05,True,True,False,False,Full,88.93,2.98,3,0.0,-4.12,-2.28,12,Stable,5,0,90,4.0,True,20,False,False,0,0,train,1,7,2,6,5,7,1,95.4,53.1,5,1,2025-03-13,0
